Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI344943,43.779,18.796,786,80,95,32,6777,236,-53,289,146,3,165,-9,1013,99,70,12,284,215,264,236,0.596,1.119,-0.464
PI349907,43.779,19.479,550,78,90,31,6776,226,-58,284,144,2,162,-12,973,103,63,15,295,195,271,212,0.64,1.022,-0.406
PI374420,44.163,17.429,780,85,90,31,7005,242,-48,290,42,6,174,-8,972,114,63,19,303,194,241,233,0.609,1.096,-0.62
PI374421,44.163,17.429,780,85,90,31,7005,242,-48,290,42,6,174,-8,972,114,63,19,303,194,241,233,0.609,1.096,-0.62
PI374423,44.28,17.863,583,83,94,32,7042,242,-51,293,156,4,172,-10,949,99,60,16,273,186,258,214,0.564,0.902,-0.396
PI374424,43.53,18.796,454,104,102,33,6866,265,-36,301,65,186,189,13,1093,120,71,15,332,232,233,290,0.237,1.287,-0.665
PI327907,43.032,25.032,238,105,102,31,7987,277,-51,328,188,12,205,-1,602,79,38,25,210,119,179,127,0.396,0.175,-0.386
PI328152,43.033,25.033,235,105,102,31,7987,277,-51,328,188,12,205,-1,602,79,38,25,210,119,179,127,0.396,0.175,-0.386
PI328154,43.033,25.033,235,105,102,31,7987,277,-51,328,188,12,205,-1,602,79,38,25,210,119,179,127,0.396,0.175,-0.386
PI328155,43.033,25.033,235,105,102,31,7987,277,-51,328,188,12,205,-1,602,79,38,25,210,119,179,127,0.396,0.175,-0.386
PI328162,43.033,25.033,235,105,102,31,7987,277,-51,328,188,12,205,-1,602,79,38,25,210,119,179,127,0.396,0.175,-0.386
CIho14268,39.958,116.475,38,121,112,27,10728,310,-94,404,252,-25,252,-25,594,190,3,130,447,12,447,12,0.765,-1.735,1.369
CIho14291,30.708,104.108,505,164,71,26,6924,294,26,268,241,69,249,69,945,236,6,100,591,26,575,26,0.052,-0.487,1.501
PI057089,30.625,114.359,27,173,80,24,8945,336,6,330,261,77,286,54,1224,224,29,57,560,118,496,119,0.157,-0.236,1.076
PI057296,42.342,123.859,71,76,119,24,12866,294,-188,482,232,-101,232,-101,674,177,6,98,425,20,425,20,1.508,-1.995,1.077
PI060205,31.792,80.409,5053,-34,136,38,7769,144,-209,353,64,-84,69,-130,295,76,5,87,172,28,159,46,1.546,-0.699,-0.194
PI069421,36.759,114.559,57,137,116,29,10369,324,-76,400,264,-3,264,-3,537,161,4,108,345,15,345,15,0.491,-1.543,0.999
PI069563,45.792,126.692,121,35,123,22,14857,282,-258,540,214,-170,214,-170,553,162,4,103,363,15,363,15,2.095,-2.442,0.903
PI070839,43.939,125.369,193,51,114,22,13806,280,-221,501,218,-138,218,-138,606,180,5,107,409,15,409,15,1.848,-2.196,1.054
PI070853,42.843,126.193,338,43,129,24,13798,274,-253,527,208,-150,208,-150,766,198,8,96,478,27,478,27,2.029,-2.226,1.195
PI073700,49.643,117.476,704,-19,134,22,16397,264,-321,585,182,-205,182,-239,321,107,1,123,235,6,235,6,2.568,-2.872,0.538
PI584959,26.591,117.889,278,178,86,31,6441,311,41,270,210,107,256,91,1799,312,43,59,832,157,616,211,-0.029,0.539,1.632
PI584962,30.062,120.918,12,168,80,25,8376,330,11,319,247,130,273,59,1288,196,47,43,489,158,464,188,0.052,0.276,0.679
PI584963,36.103,103.839,1618,90,130,31,9610,281,-129,410,193,-43,206,-43,337,81,2,88,197,7,183,7,0.781,-1.365,0.223
PI584971,36.047,96.047,4059,-15,141,35,8839,169,-225,394,95,-122,95,-132,203,47,2,97,127,6,127,7,1.589,-1.187,-0.161
PI584973,42.616,85.503,3858,-56,102,26,10503,131,-260,391,66,-203,66,-203,279,69,1,104,187,5,187,5,2.302,-1.228,-0.086
PI584974,42.616,85.503,3858,-56,102,26,10503,131,-260,391,66,-203,66,-203,279,69,1,104,187,5,187,5,2.302,-1.228,-0.086
