Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI327709,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327738,45.232,39.155,30,114,84,25,8687,283,-41,324,24,51,225,2,667,74,42,19,196,137,182,176,0.442,0.541,-0.928
PI327763,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327764,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327783,45.226,42.157,325,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327810,43.683,43.683,330,99,103,30,8746,278,-65,343,190,-5,209,-15,647,92,31,35,244,99,233,103,0.555,-0.136,-0.151
PI606305,18.418,42.702,1946,194,134,56,3672,314,75,239,174,164,241,147,232,52,2,82,128,14,49,43,-1.239,0.039,-0.093
PI606311,21.452,40.602,1433,224,133,50,4852,350,85,265,224,284,284,160,146,33,1,73,72,12,12,22,-1.489,-0.186,-0.262
PI344865,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI344867,43.452,21.802,219,115,107,34,7377,284,-29,313,190,34,206,17,621,71,42,18,191,128,165,140,0.181,0.382,-0.475
PI344885,43.536,19.869,1106,69,82,29,6680,210,-64,274,133,-7,151,-20,987,106,63,15,299,199,271,213,0.75,1.116,-0.442
PI344886,43.536,19.869,1106,69,82,29,6680,210,-64,274,133,-7,151,-20,987,106,63,15,299,199,271,213,0.75,1.116,-0.442
PI344903,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI349896,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI362381,44.003,22.136,304,102,95,31,7466,263,-37,300,177,18,194,3,656,83,42,23,221,129,198,140,0.367,0.441,-0.411
PI374429,43.47,20.803,1570,60,82,29,6786,204,-70,274,127,-17,144,-30,909,102,58,17,286,188,256,199,0.815,1.028,-0.475
PI374437,43.47,20.803,1570,60,82,29,6786,204,-70,274,127,-17,144,-30,909,102,58,17,286,188,256,199,0.815,1.028,-0.475
PI378218,44.553,19.803,218,114,101,33,7188,272,-30,302,186,33,203,18,740,87,47,19,236,150,216,173,0.238,0.569,-0.375
PI378224,44.153,19.753,894,88,91,31,6938,237,-51,288,157,10,174,-4,869,101,54,20,285,168,261,186,0.538,0.798,-0.342
PI058057,40.192,-3.808,620,140,106,35,6706,315,13,302,97,229,229,57,431,52,10,37,148,48,48,128,-0.437,0.201,-0.777
PI042888,15.747,32.728,421,289,150,56,3658,411,146,265,310,246,327,233,122,58,0,162,113,0,42,0,-2.097,-0.828,0.739
PI370782,47,9.416,1588,54,75,30,6029,183,-63,246,129,-16,129,-24,1278,159,71,28,453,220,453,231,0.929,1.329,0.093
PI370821,47,9.416,1588,54,75,30,6029,183,-63,246,129,-16,129,-24,1278,159,71,28,453,220,453,231,0.929,1.329,0.093
PI370852,47.2,8.214,763,83,77,30,6180,220,-30,250,161,14,161,3,1154,143,69,27,408,219,408,222,0.598,1.236,0.016
PI370862,46.817,10.567,1985,-13,55,27,5269,93,-109,202,53,-76,53,-76,1323,154,81,21,440,261,414,261,1.523,1.952,-0.289
PI370867,46.517,8.15,3318,-49,50,26,5021,47,-143,190,14,-33,15,-110,2316,215,164,8,620,514,570,583,2.008,3.629,-0.315
PI370869,46.517,8.15,3318,-49,50,26,5021,47,-143,190,14,-33,15,-110,2316,215,164,8,620,514,570,583,2.008,3.629,-0.315
PI370963,46.567,8.283,2138,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
PI370966,46.617,8.367,2851,-39,49,25,5063,58,-133,191,24,-22,25,-100,2249,212,161,9,623,500,574,550,1.921,3.51,-0.281
PI370970,46.617,8.367,2851,-39,49,25,5063,58,-133,191,24,-22,25,-100,2249,212,161,9,623,500,574,550,1.921,3.51,-0.281
PI370983,47.201,8.215,768,83,77,30,6180,220,-30,250,161,14,161,3,1154,143,69,27,408,219,408,222,0.598,1.236,0.016
PI370994,46.684,8.467,2787,-37,49,25,5055,60,-131,191,26,-20,27,-98,2239,213,159,9,628,497,578,542,1.903,3.477,-0.258
PI371017,46.684,8.484,2359,-23,51,26,5183,78,-118,196,42,-7,43,-85,2099,207,150,10,605,472,558,508,1.735,3.264,-0.245
PI371056,46.484,7.617,2121,42,72,29,5940,171,-70,241,118,-4,118,-33,1416,141,104,10,402,319,402,346,1.009,2.052,-0.369
PI371069,46.368,8.001,1420,-10,57,27,5389,99,-109,208,58,4,58,-76,1943,186,144,8,533,446,492,480,1.562,3.057,-0.38
PI371079,46.551,8.168,2510,-43,50,26,5052,54,-137,191,20,-26,21,-104,2276,211,162,8,613,506,564,569,1.942,3.57,-0.318
PI371100,46.568,8.284,2261,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
PI371102,46.568,8.284,2261,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
PI371105,46.585,8.285,2211,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
PI371111,46.401,7.585,2297,6,63,28,5595,122,-98,220,77,19,77,-63,1827,170,134,8,482,418,482,476,1.369,2.83,-0.402
PI371149,46.318,7.701,1072,1,61,28,5536,116,-101,217,72,14,72,-66,1845,174,137,8,492,425,492,469,1.424,2.881,-0.393
PI371156,46.402,7.785,1375,-19,57,27,5318,88,-117,205,48,-4,49,-83,2057,191,149,8,543,466,501,536,1.644,3.237,-0.393
PI371172,46.385,7.802,2518,25,66,28,5756,147,-83,230,98,-23,98,-47,1600,157,118,9,449,366,449,385,1.231,2.386,-0.343
PI371196,46.352,8.119,2203,21,63,28,5683,141,-84,225,94,-45,94,-49,1628,165,113,12,476,358,476,365,1.297,2.328,-0.223
PI371217,46.369,8.002,1362,-10,57,27,5389,99,-109,208,58,4,58,-76,1943,186,144,8,533,446,492,480,1.562,3.057,-0.38
PI371245,46.969,9.652,810,73,86,32,6401,213,-54,267,153,2,153,-11,1120,142,59,29,400,184,400,195,0.707,0.96,0.071
PI371248,46.935,9.602,1141,91,89,32,6543,234,-39,273,172,18,172,4,1126,139,61,28,393,190,393,200,0.546,0.929,0.084
PI371275,46.986,9.319,1072,13,60,28,5369,121,-88,209,80,-51,80,-54,1651,194,105,21,552,326,515,342,1.383,2.237,0.028
PI371298,46.486,7.652,1856,23,66,28,5738,145,-84,229,96,35,96,-49,1641,157,122,9,451,378,451,413,1.182,2.503,-0.401
PI371320,46.952,8.886,2143,34,65,28,5681,154,-71,225,107,-32,107,-37,1573,181,98,21,519,307,519,319,1.175,1.986,0.06
PI371323,46.886,9.069,2495,4,56,27,5279,110,-94,204,70,-59,71,-61,1814,203,120,18,583,377,540,391,1.51,2.564,-0.002
PI371327,46.869,9.436,2124,19,63,29,5493,132,-85,217,88,-46,88,-49,1525,182,93,23,516,289,516,301,1.297,1.965,0.046
PI371335,46.853,9.053,2562,-9,53,27,5151,92,-104,196,55,-71,56,-71,1952,212,134,16,610,423,565,439,1.661,2.887,-0.035
PI371338,46.853,9.053,2562,-9,53,27,5151,92,-104,196,55,-71,56,-71,1952,212,134,16,610,423,565,439,1.661,2.887,-0.035
PI371377,46.97,10.353,2457,0,61,28,5420,111,-101,212,68,-64,68,-66,1271,153,76,24,437,245,414,246,1.393,1.76,-0.211
PI371384,47.153,10.603,1171,16,71,30,5740,137,-95,232,87,-51,87,-57,1135,144,65,28,405,209,405,210,1.229,1.389,-0.145
PI371390,47.003,10.436,2512,-11,57,28,5279,94,-109,203,55,-75,55,-75,1403,163,89,21,466,287,436,287,1.528,2.071,-0.238
PI371392,47.003,10.437,2509,-11,57,28,5279,94,-109,203,55,-75,55,-75,1403,163,89,21,466,287,436,287,1.528,2.071,-0.238
PI371441,46.853,9.787,2109,5,59,28,5322,113,-95,208,71,-59,72,-60,1402,171,83,25,482,261,459,271,1.381,1.885,-0.078
PI371477,46.837,9.62,1211,33,70,30,5760,155,-77,232,106,-34,106,-40,1258,160,69,28,446,214,446,224,1.094,1.419,0.027
PI371490,46.954,9.304,2226,22,63,28,5513,136,-82,218,91,-43,91,-46,1561,185,96,22,527,299,527,312,1.288,2.009,0.061
CIho10549,35.204,38.204,519,177,144,39,8107,374,10,364,84,273,278,71,171,30,0,77,82,0,1,81,-0.729,-0.718,-0.643
CIho10550,35.204,38.204,519,177,144,39,8107,374,10,364,84,273,278,71,171,30,0,77,82,0,1,81,-0.729,-0.718,-0.643
PI038484,36.405,37.365,544,169,132,37,8104,360,7,353,64,270,270,64,348,68,0,83,195,2,2,195,-0.629,-0.487,-0.489
PI038485,36.405,37.365,544,169,132,37,8104,360,7,353,64,270,270,64,348,68,0,83,195,2,2,195,-0.629,-0.487,-0.489
PI182659,35.204,38.204,519,177,144,39,8107,374,10,364,84,273,278,71,171,30,0,77,82,0,1,81,-0.729,-0.718,-0.643
PI182679,33.704,36.504,1086,137,136,42,6843,316,-6,322,49,223,223,49,213,45,0,89,124,0,0,124,-0.486,-0.382,-0.575
PI182681,32.954,36.704,1000,159,137,43,6495,327,14,313,72,237,237,72,216,45,0,93,131,0,0,131,-0.705,-0.36,-0.482
PI182684,34.938,36.921,434,174,138,41,7298,356,24,332,80,263,265,80,310,67,0,90,176,1,2,176,-0.792,-0.44,-0.394
PI182687,35.338,36.955,434,173,140,39,7896,369,16,353,72,269,273,72,286,60,0,86,159,2,3,159,-0.724,-0.574,-0.48
PI182691,36.405,37.371,545,169,132,37,8104,360,7,353,64,270,270,64,348,68,0,83,195,2,2,195,-0.629,-0.487,-0.489
PI182693,36.705,41.205,334,193,131,35,8829,403,29,374,82,308,308,82,374,74,0,83,189,1,1,189,-0.823,-0.657,-0.449
PI182694,36.405,37.372,545,169,132,37,8104,360,7,353,64,270,270,64,348,68,0,83,195,2,2,195,-0.629,-0.487,-0.489
PI564603,33.338,36.722,595,170,156,45,6846,354,13,341,79,255,255,79,144,31,0,89,86,0,0,86,-0.815,-0.613,-0.529
PI564607,33.505,36.389,652,168,152,44,6850,357,17,340,79,254,254,79,190,41,0,96,115,0,0,115,-0.805,-0.596,-0.448
PI564613,36.839,40.839,383,183,139,36,8747,399,17,382,73,297,297,73,391,79,0,82,192,1,1,192,-0.74,-0.69,-0.439
PI564614,36.939,40.772,410,181,139,36,8768,397,15,382,80,295,295,70,413,82,0,81,200,1,1,200,-0.72,-0.683,-0.411
PI564616,36.906,41.006,396,187,134,35,8835,401,22,379,76,301,301,76,409,80,0,81,201,1,1,201,-0.76,-0.653,-0.439
PI564620,36.922,40.389,389,177,149,37,8797,400,7,393,66,292,292,66,399,79,0,79,192,1,1,192,-0.69,-0.749,-0.451
PI564621,35.222,37.072,496,170,142,40,7727,363,12,351,70,263,266,70,275,56,0,86,151,1,2,151,-0.705,-0.565,-0.492
PI564622,35.256,36.756,364,179,137,39,7712,370,27,343,79,273,276,79,345,75,0,87,195,3,4,195,-0.795,-0.474,-0.391
PI564637,35.256,36.439,176,182,130,41,6969,355,41,314,91,269,269,91,514,112,0,93,307,2,2,307,-0.895,-0.168,-0.133
PI564641,34.739,37.339,937,149,134,40,7355,329,-4,333,53,240,240,53,223,41,0,78,113,1,1,113,-0.521,-0.418,-0.661
PI564643,34.439,37.539,544,170,140,41,7323,351,13,338,73,261,261,73,136,25,0,75,65,0,0,65,-0.734,-0.531,-0.704
PI564644,35.206,38.206,518,177,144,39,8107,374,10,364,84,273,278,71,171,30,0,77,82,0,1,81,-0.729,-0.718,-0.643
PI564678,36.04,39.59,344,185,147,38,8549,395,15,380,88,295,295,76,233,47,0,82,118,1,1,116,-0.791,-0.814,-0.536
PI296192,39.207,71.207,1769,68,117,29,9488,273,-123,396,70,177,185,-61,506,84,5,58,224,24,45,159,0.633,-0.571,-0.558
PI639344,38.62,73.295,4986,-97,92,23,9687,98,-291,389,-105,19,22,-227,513,75,18,39,204,71,94,128,2.4,-0.049,-1.198
PI639345,38.621,73.296,5017,-97,92,23,9687,98,-291,389,-105,19,22,-227,513,75,18,39,204,71,94,128,2.4,-0.049,-1.198
PI639346,38.621,73.296,5017,-97,92,23,9687,98,-291,389,-105,19,22,-227,513,75,18,39,204,71,94,128,2.4,-0.049,-1.198
PI639357,38.621,73.296,5017,-97,92,23,9687,98,-291,389,-105,19,22,-227,513,75,18,39,204,71,94,128,2.4,-0.049,-1.198
CIho15279,36.025,9.675,471,153,127,39,6606,339,18,321,72,239,240,72,512,65,9,42,188,47,65,188,-0.593,0.138,-0.666
CIho15282,36.025,9.675,471,153,127,39,6606,339,18,321,72,239,240,72,512,65,9,42,188,47,65,188,-0.593,0.138,-0.666
CIho15286,37.058,10.142,0,179,100,40,5432,317,68,249,113,247,251,113,458,70,3,58,197,20,39,197,-0.963,0.404,-0.488
CIho15288,37.059,10.142,0,179,100,40,5432,317,68,249,113,247,251,113,458,70,3,58,197,20,39,197,-0.963,0.404,-0.488
CIho15290,37.059,10.142,0,179,100,40,5432,317,68,249,113,247,251,113,458,70,3,58,197,20,39,197,-0.963,0.404,-0.488
CIho15291,37.059,10.142,0,179,100,40,5432,317,68,249,113,247,251,113,458,70,3,58,197,20,39,197,-0.963,0.404,-0.488
CIho15299,33.826,9.126,25,207,127,37,7517,387,45,342,164,301,301,109,108,16,1,50,40,5,11,35,-1.038,-0.513,-0.721
CIho15304,33.742,9.026,88,207,128,36,7755,391,41,350,118,303,304,105,105,17,1,56,40,5,10,34,-0.988,-0.555,-0.795
CIho15309,33.742,9.026,88,207,128,36,7755,391,41,350,118,303,304,105,105,17,1,56,40,5,10,34,-0.988,-0.555,-0.795
CIho15310,33.809,9.126,31,208,127,37,7549,388,45,343,121,301,302,108,107,16,1,55,40,5,11,35,-1.021,-0.5,-0.791
CIho15311,33.809,9.126,31,208,127,37,7549,388,45,343,121,301,302,108,107,16,1,55,40,5,11,35,-1.021,-0.5,-0.791
CIho15313,33.809,9.126,31,208,127,37,7549,388,45,343,121,301,302,108,107,16,1,55,40,5,11,35,-1.021,-0.5,-0.791
CIho15326,33.793,9.059,38,208,128,36,7655,391,44,347,120,304,304,108,104,16,1,54,39,5,11,34,-1.011,-0.526,-0.805
CIho15336,33.693,9.21,170,203,126,36,7556,383,41,342,121,297,298,104,116,18,1,55,44,5,11,39,-0.97,-0.491,-0.788
CIho15339,33.943,9.026,25,207,129,37,7427,388,47,341,164,300,300,110,109,15,1,48,40,5,5,36,-1.053,-0.497,-0.738
CIho15349,33.993,9.06,27,206,129,37,7391,387,47,340,163,298,298,109,111,15,1,49,41,5,5,36,-1.045,-0.495,-0.732
CIho15350,33.993,9.06,27,206,129,37,7391,387,47,340,163,298,298,109,111,15,1,49,41,5,5,36,-1.045,-0.495,-0.732
CIho15355,34.21,9.21,160,194,130,39,7113,375,42,333,155,284,284,102,145,18,1,44,51,9,9,47,-0.982,-0.381,-0.746
CIho15362,37.262,10.059,74,178,95,39,5364,312,71,241,113,245,249,113,489,83,3,62,217,19,37,217,-0.95,0.457,-0.427
CIho15364,34.227,8.46,100,208,131,38,7407,394,50,344,218,303,303,113,117,15,1,43,40,9,9,33,-1.108,-0.541,-0.631
CIho15365,34.194,8.377,69,208,131,38,7392,394,50,344,217,303,303,114,116,15,1,42,39,9,9,33,-1.11,-0.532,-0.64
PI055526,34.211,9.211,161,194,130,39,7113,375,42,333,155,284,284,102,145,18,1,44,51,9,9,47,-0.982,-0.381,-0.746
CIho06294,38.561,38.511,1123,128,100,26,9602,330,-42,372,59,247,247,2,470,65,2,58,179,11,24,168,0.013,-0.436,-0.737
PI094886,40.578,50.095,-29,148,71,24,8030,305,11,294,115,251,251,48,248,33,7,36,89,28,28,65,-0.31,0.066,-0.982
PI117347,38.083,32.696,1003,105,129,37,7634,293,-52,345,96,198,202,5,359,48,5,50,130,21,33,123,-0.038,-0.285,-0.685
PI167271,37.212,35.512,266,186,118,38,6918,349,42,307,96,273,273,96,796,146,9,64,372,38,38,372,-0.831,0.273,-0.152
PI168328,39.795,27.229,235,141,108,37,6639,302,13,289,75,224,228,60,709,130,11,62,331,47,48,320,-0.443,0.393,-0.31
PI168367,39.312,33.295,882,114,115,34,7747,295,-36,331,12,209,211,12,390,52,5,49,139,25,39,139,-0.053,-0.065,-0.902
PI173518,41.596,35.777,41,137,73,31,5782,262,29,233,116,212,212,66,706,91,30,32,256,111,111,191,-0.33,0.982,-0.619
PI173577,38.579,34.229,1268,91,122,36,7413,272,-61,333,82,181,184,-6,382,53,5,50,147,23,45,121,0.108,-0.181,-0.686
PI178283,38.113,34.779,1349,98,123,37,7262,280,-52,332,88,187,190,3,360,56,5,49,142,23,41,107,0.018,-0.188,-0.672
PI178285,37.029,35.963,137,187,115,38,6528,336,41,295,101,269,269,101,793,116,13,52,325,54,54,325,-0.832,0.424,-0.316
PI178332,41.363,28.013,226,128,94,33,6607,281,3,278,64,209,212,45,607,88,22,39,239,81,86,212,-0.226,0.606,-0.702
PI178594,38.563,38.53,1131,118,102,27,9601,321,-54,375,48,238,238,-8,526,71,2,60,200,12,12,194,0.1,-0.409,-0.716
PI178609,40.866,36.046,1194,102,106,35,6872,260,-37,297,136,183,185,10,499,64,14,35,176,60,88,137,0.012,0.227,-0.608
PI182373,40.496,40.396,2264,19,118,33,7775,206,-143,349,51,116,116,-82,667,101,27,39,262,89,89,147,0.975,0.125,-0.621
PI182726,40.147,44.247,855,120,127,31,9602,329,-75,404,170,233,237,-11,305,52,13,40,120,44,62,61,0.101,-0.714,-0.619
PI264251,40.133,33.068,1019,100,122,36,7452,278,-55,333,-1,189,192,-1,448,61,12,42,159,47,62,159,0.095,0.089,-0.915
PI264870,39.247,39.73,2003,76,116,31,8685,276,-96,372,59,185,185,-37,722,103,7,54,276,30,30,242,0.435,-0.213,-0.502
PI319867,39.273,35.125,1251,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328171,41.447,35.697,446,114,83,32,6266,249,-5,254,52,191,193,34,593,67,27,24,187,96,106,171,-0.078,0.87,-0.93
PI328200,39.273,35.125,1251,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328207,39.273,35.126,1258,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328208,39.273,35.126,1258,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328244,39.273,35.126,1258,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328253,39.273,35.126,1258,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328279,39.273,35.126,1258,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328299,38.065,27.465,14,169,120,41,6126,330,42,288,94,250,250,94,699,144,3,82,384,17,17,384,-0.831,0.249,-0.04
PI328327,39.864,28.101,234,129,105,36,6634,286,2,284,63,210,214,45,703,116,14,54,303,57,59,299,-0.298,0.49,-0.453
PI328336,39.274,35.126,1259,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI328907,39.274,35.126,1259,88,128,38,7144,269,-66,335,82,173,176,-8,426,55,7,44,153,33,55,137,0.122,-0.097,-0.688
PI342031,38.565,38.532,1162,118,102,27,9601,321,-54,375,48,238,238,-8,526,71,2,60,200,12,12,194,0.1,-0.409,-0.716
PI342136,38.972,30.758,1443,93,109,34,7167,267,-45,312,83,181,184,0,490,60,14,37,164,52,77,154,0.099,0.189,-0.758
PI342139,38.889,29.621,1261,95,112,36,6913,266,-40,306,7,182,184,7,697,106,16,47,280,61,78,280,0.074,0.455,-0.647
PI342198,38.889,29.621,1261,95,112,36,6913,266,-40,306,7,182,184,7,697,106,16,47,280,61,78,280,0.074,0.455,-0.647
PI342219,39.639,30.199,886,103,113,36,6916,270,-37,307,12,185,190,12,483,67,11,40,172,47,66,172,0.004,0.275,-0.869
PI342270,39.65,30.2,886,100,112,36,6888,266,-39,305,9,182,186,9,509,70,12,39,181,51,69,181,0.036,0.325,-0.867
PI342283,39.66,30.201,886,100,112,36,6888,266,-39,305,9,182,186,9,509,70,12,39,181,51,69,181,0.036,0.325,-0.867
PI342329,39.67,30.202,955,100,112,36,6888,266,-39,305,9,182,186,9,509,70,12,39,181,51,69,181,0.036,0.325,-0.867
PI342331,39.68,30.203,976,100,112,36,6888,266,-39,305,9,182,186,9,509,70,12,39,181,51,69,181,0.036,0.325,-0.867
PI024497,37.833,62.383,219,168,143,35,9414,386,-19,405,64,288,288,45,170,36,0,84,88,0,0,77,-0.498,-1.011,-0.663
PI029004,37.847,62.05,218,166,141,34,9464,384,-21,405,61,287,287,43,159,32,0,83,80,0,0,72,-0.468,-1.008,-0.702
PI327830,40.417,60.237,150,143,129,30,10550,370,-60,430,152,257,277,6,114,21,1,67,55,5,6,35,-0.118,-1.208,-0.67
PI327849,40.227,60.227,157,145,130,30,10507,371,-58,429,154,279,279,8,114,21,1,68,55,5,5,36,-0.164,-1.205,-0.671
PI327854,40.247,60.247,161,145,130,30,10542,371,-59,430,153,279,279,7,114,21,1,68,55,5,5,36,-0.157,-1.211,-0.674
PI327857,38.468,59.973,126,158,136,32,9869,379,-39,418,160,269,284,29,151,29,1,73,73,4,5,51,-0.337,-1.152,-0.552
PI327858,40.278,60.328,157,144,130,30,10554,371,-60,431,153,279,279,7,114,21,1,68,55,5,5,36,-0.151,-1.215,-0.674
PI327860,40.298,60.348,154,144,130,30,10554,371,-60,431,153,279,279,7,114,21,1,68,55,5,5,36,-0.151,-1.215,-0.674
PI327868,38.468,59.968,124,158,136,32,9869,379,-39,418,160,269,284,29,151,29,1,73,73,4,5,51,-0.337,-1.152,-0.552
PI327869,40.308,60.358,150,144,130,30,10553,370,-60,430,153,278,278,7,114,21,1,68,55,5,5,36,-0.149,-1.211,-0.674
PI327870,40.328,60.368,145,144,130,30,10541,370,-60,430,152,278,278,6,114,21,1,68,55,5,5,36,-0.147,-1.21,-0.676
PI327882,40.338,60.378,147,144,130,30,10541,370,-60,430,152,278,278,6,114,21,1,68,55,5,5,36,-0.147,-1.21,-0.676
PI094834,50.21,36.471,161,69,83,23,9926,251,-105,356,192,1,192,-60,556,68,30,22,181,101,181,122,0.929,-0.109,-0.511
PI094919,50.2,36.472,178,69,83,23,9926,251,-105,356,192,1,192,-60,556,68,30,22,181,101,181,122,0.929,-0.109,-0.511
PI327680,46.697,30.952,12,101,69,22,8612,265,-46,311,191,35,211,-8,461,52,26,18,141,99,138,117,0.46,0.217,-0.691
PI327719,48.67,35.203,59,86,84,23,9676,273,-80,353,192,16,208,-38,517,60,33,18,162,107,155,129,0.712,-0.019,-0.619
PI327724,49.776,25.825,345,69,84,26,8303,232,-83,315,159,-32,172,-40,628,94,29,41,251,93,249,103,0.853,0.045,-0.207
PI327836,48.67,35.203,59,86,84,23,9676,273,-80,353,192,16,208,-38,517,60,33,18,162,107,155,129,0.712,-0.019,-0.619
PI467657,52.385,-0.479,72,97,75,34,4937,215,-1,216,161,61,161,35,577,55,34,10,155,124,155,133,0.055,1.12,-0.732
CIho02266,39.918,67.202,1374,105,124,33,8633,306,-68,374,105,202,216,-8,438,80,1,70,205,12,16,148,0.103,-0.604,-0.413
PI035051,40.735,71.885,424,142,124,31,9777,350,-48,398,92,244,262,9,224,32,1,55,88,9,15,79,-0.128,-0.798,-0.804
PI064022,41.517,69.468,584,136,128,32,9248,350,-43,393,82,238,254,14,469,79,3,63,200,14,22,169,-0.13,-0.636,-0.521
PI084311,41.852,60.402,90,127,125,28,11029,357,-81,438,136,245,267,-16,101,19,1,65,48,5,6,30,0.096,-1.246,-0.751
PI084312,43.419,59.919,52,105,121,27,11810,339,-107,446,114,231,253,-49,118,18,2,52,49,9,10,34,0.377,-1.208,-0.9
PI084313,43.419,59.919,52,105,121,27,11810,339,-107,446,114,231,253,-49,118,18,2,52,49,9,10,34,0.377,-1.208,-0.9
PI084314,42.103,60.653,294,113,124,28,11121,343,-96,439,122,232,254,-32,120,21,2,57,56,9,10,34,0.249,-1.174,-0.821
PI327833,41.961,64.102,124,139,120,26,11548,374,-76,450,73,265,286,-12,119,20,1,67,53,5,6,42,0.074,-1.243,-0.902
PI327861,41.961,64.102,124,139,120,26,11548,374,-76,450,73,265,286,-12,119,20,1,67,53,5,6,42,0.074,-1.243,-0.902
PI327862,39.907,67.213,1326,105,124,33,8633,306,-68,374,105,202,216,-8,438,80,1,70,205,12,16,148,0.103,-0.604,-0.413
PI327863,39.908,67.213,1305,105,124,33,8633,306,-68,374,105,202,216,-8,438,80,1,70,205,12,16,148,0.103,-0.604,-0.413
PI327864,40.028,64.682,250,149,130,32,9838,365,-41,406,94,274,274,21,161,33,0,78,79,2,2,65,-0.259,-1.017,-0.68
PI155303,15.755,47.755,710,236,112,53,3337,337,129,208,243,231,276,193,53,13,0,73,26,3,10,14,-1.732,0.182,-0.302
PI244041,14.222,44.439,2753,140,158,62,2688,259,6,253,167,121,171,102,454,128,4,96,256,22,234,26,-0.687,-0.106,0.569
PI296185,15.755,47.755,710,236,112,53,3337,337,129,208,243,231,276,193,53,13,0,73,26,3,10,14,-1.732,0.182,-0.302
PI422225,15.605,44.455,2170,169,158,64,2786,286,42,244,198,137,203,131,215,61,1,105,111,13,107,18,-1.106,-0.18,0.251
PI422226,13.289,44.156,1924,205,136,63,2616,307,94,213,230,171,235,168,473,102,4,74,241,26,215,28,-1.371,0.215,0.465
PI422230,15.756,47.756,706,236,112,53,3337,337,129,208,243,231,276,193,53,13,0,73,26,3,10,14,-1.732,0.182,-0.302
PI422232,15.606,44.456,2180,169,158,64,2786,286,42,244,198,137,203,131,215,61,1,105,111,13,107,18,-1.106,-0.18,0.251
PI422233,15.606,44.456,2180,169,158,64,2786,286,42,244,198,137,203,131,215,61,1,105,111,13,107,18,-1.106,-0.18,0.251
PI429311,13.823,44.289,1907,200,146,64,2564,308,81,227,224,167,229,163,449,110,2,86,247,19,174,20,-1.335,0.037,0.54
PI429312,13.823,44.289,1907,200,146,64,2564,308,81,227,224,167,229,163,449,110,2,86,247,19,174,20,-1.335,0.037,0.54
PI429313,15.773,44.156,2808,138,162,63,2884,260,6,254,169,107,174,99,283,73,2,94,132,18,127,24,-0.763,-0.131,0.196
PI429314,15.673,44.59,2309,153,161,65,2798,272,25,247,182,140,187,115,236,67,1,105,121,15,118,21,-0.971,-0.17,0.248
PI430743,17.323,43.84,1784,192,149,57,4023,319,59,260,198,183,242,141,186,50,1,97,112,9,35,19,-1.228,-0.277,0.041
PI430744,16.257,44.44,1194,226,143,59,3430,341,102,239,233,216,268,182,108,22,1,74,51,9,36,13,-1.648,-0.032,-0.159
PI430745,15.907,44.223,2230,151,159,63,2937,272,22,250,183,119,188,112,243,62,1,93,111,16,107,22,-0.911,-0.127,0.147
