,Northern Levant,Northern Mesopotamia,Syrian Desert,Southern Levant,Central Asia
PI190271,0.14,0.18,0.05,0.55,0.23
PI190786,0,0.09,0,0.77,0.14
PI190787,0.14,0.14,0.05,0.45,0.32
PI190852,0.18,0.09,0.05,0.64,0.14
PI198734,0.09,0.14,0,0.68,0.23
PI217948,0.09,0.14,0.05,0.73,0.09
PI220660,0.05,0.09,0.05,0.5,0.41
PI223446,0.05,0.09,0.05,0.5,0.45
PI223509,0.09,0.09,0.05,0.64,0.23
PI223879,0,0.09,0.09,0.68,0.27
PI225136,0.05,0.27,0.14,0.32,0.36
PI243587,0.09,0.27,0,0.59,0.18
PI243588,0.14,0.09,0,0.64,0.18
PI243607,0.05,0.18,0.05,0.5,0.36
PI243609,0.09,0.14,0.05,0.68,0.14
PI244041,0.14,0.05,0,0.82,0.09
PI244791,0.09,0.09,0.05,0.73,0.14
PI244807,0.14,0.14,0.09,0.5,0.23
PI244823,0.05,0.32,0.05,0.59,0.14
PI244826,0.14,0.09,0.05,0.64,0.09
PI250365,0.05,0.18,0.05,0.73,0.05
PI250366,0.05,0.27,0.05,0.64,0.09
PI250775,0.14,0.14,0.05,0.59,0.18
PI250778,0.09,0.09,0.09,0.77,0.09
PI268250,0.14,0.05,0.05,0.64,0.18
PI269912,0.05,0.18,0.05,0.59,0.18
PI289811,0.09,0.14,0.05,0.68,0.14
PI296192,0.09,0.14,0.05,0.45,0.41
PI327830,0,0.09,0.05,0.64,0.32
PI327833,0,0.14,0.05,0.55,0.32
PI327837,0.14,0.09,0.05,0.59,0.27
PI327849,0.05,0.05,0.09,0.55,0.36
PI327854,0.05,0.05,0.09,0.5,0.45
PI327857,0.09,0,0.14,0.59,0.27
PI327858,0.14,0.09,0.14,0.45,0.32
PI327860,0,0.14,0.05,0.45,0.45
PI327862,0.05,0.05,0.05,0.5,0.45
PI327863,0.09,0.05,0.05,0.73,0.14
PI327864,0.05,0.14,0.09,0.55,0.32
PI327866,0.09,0.05,0.09,0.68,0.23
PI327869,0.14,0.14,0.05,0.41,0.41
PI327870,0.09,0.18,0.05,0.64,0.09
PI327882,0.05,0.23,0.14,0.64,0.09
PI328728,0.05,0.09,0.14,0.5,0.36
PI366439,0,0.18,0.14,0.55,0.27
PI366450,0.14,0.23,0.05,0.36,0.36
PI366453,0.27,0.09,0.05,0.41,0.27
PI366478,0,0.05,0.05,0.59,0.41
PI410444,0.05,0.09,0,0.86,0.05
PI410451,0.14,0.14,0.09,0.55,0.18
PI410456,0.05,0.09,0.05,0.82,0.05
PI410464,0.18,0.14,0.05,0.64,0.09
PI410465,0.09,0.09,0,0.77,0.09
PI410471,0.14,0.09,0.05,0.64,0.14
PI410475,0.05,0.09,0.05,0.68,0.23
PI410478,0.23,0.09,0,0.64,0.14
PI410481,0.09,0.14,0,0.73,0.09
PI410483,0.09,0.18,0,0.82,0.05
PI410507,0.05,0.14,0,0.73,0.14
PI410509,0.05,0.09,0,0.82,0.09
PI410516,0.09,0.23,0,0.64,0.18
PI410520,0.09,0.14,0,0.68,0.18
PI410522,0.14,0.09,0,0.73,0.09
PI410525,0,0.09,0.05,0.73,0.23
PI429314,0.09,0.14,0.05,0.68,0.14
PI429504,0.05,0.14,0.05,0.73,0.09
PI429519,0.05,0.09,0.05,0.73,0.09
PI429521,0.09,0.09,0.05,0.77,0.05
PI429526,0.05,0.14,0.09,0.68,0.14
PI429533,0.09,0.14,0.05,0.77,0.05
PI429546,0.05,0.09,0.09,0.77,0.09
PI429594,0.09,0.14,0.05,0.73,0.09
PI429883,0.09,0.18,0,0.68,0.14
PI429947,0.09,0.27,0.05,0.64,0.09
PI429995,0.14,0.23,0.05,0.55,0.14
PI513166,0.09,0.23,0.05,0.59,0.14
PI513167,0.05,0.23,0.09,0.68,0.09
PI513169,0.18,0.14,0.05,0.64,0.09
PI513195,0.23,0.09,0.09,0.55,0.14
PI513197,0.18,0.09,0.09,0.64,0.14
PI513200,0.09,0.05,0.09,0.64,0.27
PI513205,0.14,0.09,0.05,0.68,0.18
PI513226,0.14,0,0.05,0.77,0.09
PI559494,0.09,0.23,0.05,0.64,0.09
PI559501,0.14,0.14,0.05,0.64,0.09
PI559516,0.05,0.14,0.09,0.77,0.05
PI559518,0.09,0.14,0.14,0.59,0.09
PI559519,0.05,0.09,0.05,0.77,0.05
PI564595,0.09,0.14,0.05,0.73,0.05
PI564627,0.09,0.05,0.05,0.73,0.14
PI564661,0.18,0,0.14,0.55,0.27
PI564664,0.14,0.09,0.14,0.45,0.32
PI564669,0.18,0,0.18,0.41,0.36
PI564678,0,0.23,0.05,0.68,0.14
PI573760,0.05,0.14,0,0.82,0.09
PI573786,0,0.09,0,0.86,0.05
PI573792,0.09,0.14,0,0.73,0.05
PI573802,0.14,0.18,0.05,0.64,0.09
PI573817,0.05,0.09,0,0.77,0.18
PI573864,0.09,0.18,0,0.73,0.09
PI573926,0.05,0.14,0.05,0.77,0.09
PI573953,0,0.09,0.09,0.73,0.14
PI573967,0.05,0.18,0.05,0.68,0.14
PI573969,0,0.14,0.09,0.68,0.18
PI573977,0.05,0.09,0.09,0.64,0.18
PI573982,0.05,0.09,0.09,0.68,0.18
PI573985,0.09,0.14,0,0.73,0.09
PI574003,0.05,0.14,0,0.82,0.09
PI574033,0,0.14,0,0.77,0.14
PI574062,0,0.18,0,0.68,0.18
PI574067,0.05,0.14,0.05,0.68,0.14
PI574081,0.05,0.09,0.05,0.82,0.05
PI574085,0.05,0.09,0.05,0.73,0.09
PI574089,0.09,0.09,0.09,0.64,0.09
PI574091,0.05,0.18,0.09,0.64,0.05
PI574094,0.05,0.14,0.09,0.64,0.09
PI574292,0.14,0.18,0.09,0.64,0
PI584788,0.09,0.23,0,0.68,0.09
PI584959,0.05,0.09,0.09,0.64,0.23
PI584963,0,0.14,0.09,0.59,0.18
PI584971,0.09,0.14,0.14,0.5,0.23
PI584974,0.09,0.14,0,0.64,0.23
PI584975,0,0.14,0.05,0.59,0.36
PI584977,0.05,0.05,0.05,0.5,0.5
PI591958,0.05,0.14,0.05,0.77,0.09
PI611491,0.14,0.09,0.05,0.59,0.18
PI639344,0.05,0.14,0.05,0.68,0.23
PI639345,0.05,0.18,0.09,0.55,0.27
PI639346,0.14,0.18,0.05,0.55,0.23
PI639357,0.09,0.14,0.05,0.64,0.23
,,,,,
CIho00497,0.23,0.05,0.09,0.59,0.05
CIho02479,0.18,0.05,0.09,0.73,0
CIho03549,0.14,0.09,0.05,0.73,0
CIho03556,0.32,0.09,0,0.55,0.05
CIho03576,0.09,0.09,0.09,0.68,0.14
CIho03581,0.14,0.18,0.05,0.73,0
CIho03642,0.18,0.27,0,0.55,0
CIho03694,0.14,0.14,0.05,0.68,0.09
CIho03709,0.14,0.05,0.05,0.77,0.05
CIho03734,0.14,0.09,0,0.77,0.05
CIho05024,0.27,0.05,0,0.64,0.14
CIho06294,0.14,0.05,0.05,0.82,0
CIho06557,0.23,0,0,0.77,0.14
CIho06721,0.18,0.09,0.09,0.55,0.14
CIho10058,0.23,0.18,0.14,0.59,0
CIho14051,0.23,0.09,0.09,0.59,0
CIho14052,0.18,0.14,0,0.73,0
CIho14053,0.14,0.09,0.14,0.73,0.05
CIho14054,0.18,0.18,0,0.68,0.05
CIho14055,0.23,0.09,0.05,0.73,0.05
CIho14059,0.18,0.14,0,0.68,0.05
CIho15279,0.18,0.09,0.14,0.55,0.14
CIho15282,0.18,0.14,0.05,0.59,0.09
CIho15286,0.18,0.09,0.09,0.68,0
CIho15288,0.18,0.09,0.05,0.73,0.05
CIho15290,0.23,0.05,0,0.73,0.05
CIho15291,0.18,0.09,0.09,0.73,0
CIho15299,0.32,0.05,0.14,0.59,0.05
CIho15304,0.23,0.09,0.05,0.64,0.05
CIho15309,0.14,0.09,0.14,0.64,0.09
CIho15310,0.23,0.14,0,0.68,0.05
CIho15311,0.23,0.05,0.14,0.59,0.05
CIho15313,0.14,0.05,0,0.82,0.09
CIho15326,0.09,0.05,0,0.82,0.09
CIho15336,0.18,0.09,0,0.77,0.05
CIho15339,0.27,0.14,0.05,0.59,0.05
CIho15349,0.14,0.09,0.05,0.64,0.14
CIho15350,0.14,0.09,0,0.82,0
CIho15355,0.27,0.14,0.05,0.45,0.14
CIho15362,0.14,0.09,0.09,0.68,0.14
CIho15364,0.14,0.09,0.09,0.77,0
CIho15365,0.14,0.05,0.09,0.73,0
PI026179,0.18,0.18,0.05,0.59,0.05
PI027933,0.18,0.09,0.14,0.68,0
PI039590,0.14,0.18,0.09,0.68,0
PI042888,0.14,0.09,0.18,0.55,0.09
PI055526,0.27,0.05,0.05,0.64,0.05
PI057047,0.09,0.05,0.09,0.82,0
PI057048,0.18,0.05,0.05,0.68,0.05
PI057057,0.14,0.14,0.05,0.82,0
PI057752,0.18,0.09,0.05,0.77,0
PI058057,0.32,0.18,0.05,0.5,0.05
PI060663,0.09,0.09,0,0.73,0.09
PI060701,0.23,0.14,0,0.59,0.05
PI064004,0.09,0.14,0.05,0.77,0.05
PI069421,0.23,0.05,0,0.77,0
PI069563,0.09,0.09,0,0.86,0
PI070839,0.14,0.05,0.05,0.82,0.05
PI070853,0.09,0.09,0.05,0.86,0
PI073299,0.23,0.14,0.05,0.68,0.05
PI073700,0.09,0.05,0,0.82,0.09
PI087840,0.14,0,0.14,0.77,0.09
PI087841,0.18,0.14,0.05,0.68,0
PI094875,0.14,0.09,0,0.77,0.05
PI094886,0.09,0.14,0.05,0.77,0
PI094919,0.32,0.09,0.05,0.64,0
PI129484,0.09,0.09,0.05,0.68,0.14
PI141441,0.18,0.14,0.09,0.59,0.09
PI151795,0.14,0.18,0,0.77,0
PI167271,0.09,0.14,0.14,0.73,0
PI168328,0.18,0.18,0.09,0.55,0.05
PI173518,0.09,0.05,0.05,0.82,0.14
PI173577,0.09,0.14,0.05,0.82,0
PI176010,0.09,0.18,0.14,0.55,0.09
