Accession.ID,Country,Latitude,Longitude,altitude
PI328577,Greece,36.847,22.664,9
PI328578,Greece,35.297,26.214,NA
PI328632,Greece,35.464,23.73,427
PI328637,Greece,37.347,22.647,761
PI328639,Greece,39.097,22.097,584
PI328787,Greece,35.381,25.564,NA
PI329032,Greece,37.014,22.531,267
PI329042,Greece,37.248,22.064,630
PI329043,Greece,39.098,22.098,576
PI329114,Greece,38.114,23.081,NA
PI636056,Hungary,48.404,21.637,360
PI636060,Hungary,48.054,20.921,105
CIho03826,India,34.304,74.454,1587
CIho03853,India,34.338,74.888,2666
CIho03865,India,34.338,74.888,2666
CIho03886,India,34.321,75.105,4190
CIho05023,India,20.105,77.105,545
CIho05024,India,20.105,77.105,545
PI030842,India,27.355,80.855,134
PI039368,India,26.089,85.789,51
PI164385,India,29.906,75.939,229
PI164744,India,15.456,75.272,597
PI165883,India,30.356,79.439,2146
PI166058,India,27.356,80.856,133
PI166060,India,27.356,80.856,133
PI166078,India,30.356,79.439,2146
PI176004,India,30.139,80.289,3488
PI176010,India,30.14,80.29,3496
PI176021,India,29.94,79.606,1260
PI176035,India,29.94,79.606,1260
PI176042,India,29.94,79.607,1238
PI176061,India,29.94,79.607,1238
PI176112,India,30.49,78.59,1907
PI176113,India,30.607,78.774,2865
PI176118,India,30.607,78.774,2865
PI176129,India,30.607,78.774,2865
PI176144,India,30.607,78.774,2865
PI176162,India,30.607,78.774,2865
PI181102,India,32.691,77.107,5333
PI181108,India,24.941,72.857,268
PI181113,India,24.024,72.491,187
PI331803,India,20.108,77.108,542
PI429883,India,34.341,76.191,4573
PI429947,India,32.141,76.941,4028
PI429995,India,29.858,80.391,2130
PI591958,Indonesia,-7.031,110.514,24
CIho06950,Iran,32.109,53.109,1726
CIho06952,Iran,32.776,51.742,1556
PI047541,Iran,32.109,53.109,1726
PI048641,Iran,32.109,53.109,1726
PI138698,Iran,27.426,56.393,108
PI138699,Iran,30.393,57.188,1954
PI138706,Iran,30.493,57.659,458
PI138709,Iran,29.21,58.46,958
PI138710,Iran,32.11,53.11,1729
PI138711,Iran,32.11,53.11,1729
PI138722,Iran,31.143,52.943,2073
PI138726,Iran,29.11,53.11,1886
PI141423,Iran,33.577,49.177,1700
PI141441,Iran,36.327,57.81,1580
PI225136,Iran,32.11,53.11,1729
PI226639,Iran,29.744,51.844,2293
PI227449,Iran,29.11,53.11,1886
PI243581,Iran,38.344,48.411,1310
PI243587,Iran,35.844,50.494,1150
PI243588,Iran,30.394,57.19,1960
PI243607,Iran,36.328,57.811,1632
PI243609,Iran,37.578,57.428,917
PI244807,Iran,36.945,54.595,11
PI250861,Iran,36.411,59.711,1024
PI268241,Iran,29.728,52.345,2054
PI268250,Iran,32.795,47.378,1158
PI268255,Iran,30.412,51.595,2085
PI268256,Iran,30.412,51.595,2085
PI289811,Iran,32.295,48.345,92
PI429360,Iran,36.312,48.312,1700
PI494169,Iran,38.192,46.404,1889
PI494175,Iran,32.562,48.462,392
CIho01458,Iraq,33.413,44.713,37
CIho01461,Iraq,33.413,44.713,37
CIho01468,Iraq,33.413,44.713,37
CIho02337,Iraq,33.113,44.113,39
CIho02339,Iraq,33.113,44.113,39
PI057015,Iraq,33.113,44.113,39
PI076280,Iraq,33.397,44.63,37
PI076281,Iraq,33.397,44.63,37
PI076284,Iraq,33.397,44.63,37
PI076285,Iraq,33.397,44.631,37
PI076286,Iraq,33.397,44.631,37
PI076290,Iraq,33.397,44.631,37
PI076291,Iraq,33.397,44.631,37
PI076294,Iraq,33.398,44.631,37
PI076296,Iraq,33.398,44.631,37
PI178636,Iraq,33.415,44.715,38
PI178637,Iraq,33.415,44.715,38
PI253938,Iraq,35.665,45.548,907
PI584785,Iraq,33.115,44.115,38
PI584786,Iraq,33.115,44.115,38
PI584788,Iraq,33.115,44.115,38
PI282616,Israel,31.617,34.867,233
PI572573,Israel,32.118,35.185,400
PI264864,Italy,44.586,10.036,807
PI264888,Italy,37.436,15.07,7
PI264890,Italy,37.753,14.887,1224
PI264891,Italy,41.253,13.987,440
PI264894,Italy,38.57,16.703,NA
PI264926,Italy,41.254,13.987,437
PI328924,Italy,38.22,15.77,660
PI328945,Italy,38.221,15.771,686
PI331878,Italy,38.221,15.771,686
PI331912,Italy,42.954,12.954,1000
CIho11757,Japan,35.807,139.875,6
PI080937,Japan,35.739,138.731,791
PI080938,Japan,36.673,138.239,350
PI182602,Japan,38.025,139.146,NA
PI190271,Japan,34.785,134.058,58
PI190771,Japan,33.123,131.123,686
PI223143,Jordan,31.125,36.125,888
PI233834,Jordan,31.126,36.126,887
PI420922,Jordan,32.21,35.843,350
PI420923,Jordan,30.777,35.76,1158
PI639299,Kazakhstan,43.377,77.077,670
PI639300,Kazakhstan,43.377,77.077,670
PI083794,Korea North,40.578,129.028,266
PI087780,Korea North,39.162,125.882,265
PI087782,Korea North,39.162,125.882,265
PI087835,Korea North,41.716,129.734,1
PI087836,Korea North,39.162,125.883,277
PI087838,Korea North,39.162,125.883,277
PI087839,Korea North,39.162,125.883,277
PI087840,Korea North,39.162,125.883,277
PI087841,Korea North,40.054,125.522,100
PI087842,Korea North,38.831,127.57,810
PI087844,Korea North,40.476,127.497,1738
PI190786,Korea North,40.129,127.129,1025
PI190787,Korea North,40.129,127.129,1025
PI190790,Korea North,40.129,127.129,1025
PI087180,Korea South,36.13,127.83,428
PI087752,Korea South,36.648,126.93,223
PI087754,Korea South,35.88,127.38,399
PI087757,Korea South,35.88,127.38,399
PI087763,Korea South,35.88,127.38,399
PI087765,Korea South,35.88,127.38,399
PI087767,Korea South,35.88,127.38,399
PI087778,Korea South,35.591,128.344,171
PI087795,Korea South,35.88,127.38,399
PI087800,Korea South,36.464,128.881,147
PI087815,Korea South,36.464,128.881,147
PI186125,Korea South,37.132,127.632,60
PI186130,Korea South,37.132,127.632,60
PI186134,Korea South,37.132,127.632,60
PI190824,Korea South,35.594,128.346,160
PI190852,Korea South,37.133,127.633,62
PI182661,Lebanon,33.885,36.001,939
PI182662,Lebanon,33.885,36.001,939
PI026179,Libya,25.135,17.135,422
PI060663,Libya,33.019,13.302,NA
PI235186,Libya,25.135,17.135,422
PI264210,Libya,25.136,17.136,424
PI410437,Libya,33.002,13.469,NA
PI344871,Macedonia,42.253,21.836,421
PI344874,Macedonia,41.937,21.037,741
PI344889,Macedonia,41.903,21.887,381
PI374413,Macedonia,42.32,21.954,814
PI378216,Macedonia,41.137,20.937,1418
PI390302,Macedonia,41.354,21.337,599
PI390304,Macedonia,41.571,22.287,531
PI390323,Macedonia,41.671,22.671,861
PI405744,Macedonia,41.871,21.888,439
PI405756,Macedonia,41.554,22.021,147
PI405762,Macedonia,41.638,22.021,351
PI405780,Macedonia,41.371,22.738,859
PI405792,Macedonia,42.021,22.321,1181
PI405802,Macedonia,42.288,22.155,1075
PI415314,Macedonia,41.972,22.138,621
PI415330,Macedonia,41.972,22.138,621
PI415331,Macedonia,41.972,22.139,629
PI415348,Macedonia,41.972,22.139,629
PI415349,Macedonia,41.972,22.139,629
PI415362,Macedonia,41.972,22.139,629
PI415363,Macedonia,41.972,22.139,629
PI415365,Macedonia,41.972,22.139,629
PI420454,Macedonia,41.973,22.139,620
PI420459,Macedonia,41.973,22.139,620
PI420462,Macedonia,41.973,22.14,616
PI420463,Macedonia,41.973,22.14,616
PI420482,Macedonia,41.973,22.14,616
CIho04049,Mongolia,46.76,96.56,1770
CIho04050,Mongolia,46.326,95.393,1124
CIho04056,Mongolia,46.143,105.143,1362
CIho04063,Mongolia,46.76,96.56,1770
CIho04064,Mongolia,46.76,96.56,1770
CIho04069,Mongolia,46.66,96.477,1814
CIho04074,Mongolia,46.76,96.56,1770
CIho04083,Mongolia,46.794,96.611,1942
CIho14151,Mongolia,46.144,105.144,1363
CIho14158,Mongolia,46.144,105.144,1363
CIho14216,Mongolia,46.144,105.144,1363
CIho14219,Mongolia,46.144,105.144,1363
CIho14222,Mongolia,46.145,105.145,1367
CIho14228,Mongolia,46.145,105.145,1367
CIho14234,Mongolia,46.145,105.145,1367
CIho14239,Mongolia,46.145,105.145,1367
PI061576,Mongolia,46.145,105.145,1367
PI061589,Mongolia,46.146,105.146,1366
PI184103,Montenegro,43.296,19.246,1025
PI184112,Montenegro,43.496,19.496,845
PI344944,Montenegro,43.53,19.48,939
PI344956,Montenegro,43.297,19.263,996
PI344958,Montenegro,43.297,19.263,996
PI356672,Morocco,32.148,-4.852,1536
PI356696,Morocco,32.148,-4.852,1536
PI356711,Morocco,32.148,-4.852,1536
PI356713,Morocco,32.149,-4.852,1538
PI356715,Morocco,32.149,-4.851,1543
PI356718,Morocco,32.149,-4.851,1543
PI356719,Morocco,32.149,-4.851,1543
PI356732,Morocco,32.149,-4.851,1543
PI356734,Morocco,32.149,-4.851,1543
PI356737,Morocco,32.149,-4.851,1543
PI356741,Morocco,32.149,-4.851,1543
PI356742,Morocco,32.149,-4.851,1543
PI356755,Morocco,32.15,-4.85,1545
PI356759,Morocco,32.15,-4.85,1545
PI356763,Morocco,32.15,-4.85,1545
PI356771,Morocco,32.15,-4.85,1545
PI356775,Morocco,32.15,-4.85,1545
CIho14401,Myanmar,22.15,98.15,1024
PI176071,Nepal,28.151,84.151,1135
PI429504,Nepal,27.384,87.234,469
PI429519,Nepal,27.418,87.134,626
PI429521,Nepal,27.535,87.551,2706
PI429526,Nepal,27.601,87.368,1469
PI429533,Nepal,27.718,87.385,2098
PI429546,Nepal,27.602,87.035,3262
PI429594,Nepal,27.735,86.602,5348
PI559494,Nepal,29.402,82.402,4594
PI559501,Nepal,29.335,82.519,4633
PI559516,Nepal,28.152,84.152,1171
PI559518,Nepal,28.152,84.152,1171
PI559519,Nepal,28.152,84.152,1171
PI573760,Nepal,27.902,86.902,4982
PI573786,Nepal,27.569,86.236,2445
PI573792,Nepal,27.569,86.236,2445
PI573802,Nepal,27.986,86.403,4776
PI573817,Nepal,29.403,81.069,2709
PI573864,Nepal,28.736,83.486,5104
PI573926,Nepal,29.82,81.403,4079
PI573953,Nepal,29.653,80.736,2361
PI573967,Nepal,28.57,82.903,2669
PI573969,Nepal,28.57,82.903,2669
PI573977,Nepal,28.57,82.903,2669
PI573982,Nepal,28.904,82.737,4665
PI573985,Nepal,28.904,82.737,4665
PI574003,Nepal,29.654,81.654,2693
PI574033,Nepal,27.404,86.987,1424
PI574062,Nepal,27.904,86.904,5010
PI574067,Nepal,27.904,86.904,5010
PI574081,Nepal,28.988,82.404,5122
PI574085,Nepal,27.071,88.071,1881
PI574089,Nepal,27.071,88.071,1881
PI574091,Nepal,27.071,88.071,1881
PI574094,Nepal,27.071,88.071,1881
CIho06557,Norway,62.159,10.159,681
PI054915,Norway,66.36,12.743,0
PI361691,Norway,62.16,10.16,685
PI564647,Oman,24.612,56.812,NA
PI564648,Oman,23.662,57.328,123
PI564649,Oman,23.329,57.495,430
PI564661,Oman,23.329,57.495,430
PI564662,Oman,23.329,57.329,1288
PI564663,Oman,23.329,57.329,1288
PI564664,Oman,23.496,56.829,654
PI564666,Oman,23.746,56.696,769
PI564669,Oman,23.163,57.496,1915
PI057958,Pakistan,31.58,73.246,189
PI217948,Pakistan,34.064,70.264,2334
PI244823,Pakistan,36.164,75.164,5060
PI244826,Pakistan,35.464,75.78,4313
PI250365,Pakistan,30.164,70.164,851
PI250366,Pakistan,33.681,74.081,1079
PI269899,Pakistan,33.531,70.714,1136
PI269912,Pakistan,36.247,72.214,1960
PI410444,Pakistan,35.364,74.214,2768
PI410451,Pakistan,36.481,75.048,4116
PI410456,Pakistan,36.381,73.364,3245
PI410464,Pakistan,36.598,73.548,4418
PI410465,Pakistan,36.431,73.581,4245
PI410471,Pakistan,36.331,73.131,3879
PI410475,Pakistan,36.315,73.065,4785
PI410478,Pakistan,36.448,73.948,4103
PI410481,Pakistan,36.215,74.298,2308
PI410483,Pakistan,35.615,74.965,2907
PI410507,Pakistan,35.415,76.015,4165
